Task,Description,Start,Finish,IndexCol
chuvas_C_00937023.csv,chuvas_C_00937023.csv,1935-01-01,1948-05-31,chuvas_C_00937023.csv
chuvas_C_00937023.csv,chuvas_C_00937023.csv,1948-06-21,1949-05-31,chuvas_C_00937023.csv
chuvas_C_00937023.csv,chuvas_C_00937023.csv,1949-06-21,1950-09-30,chuvas_C_00937023.csv
chuvas_C_00937023.csv,chuvas_C_00937023.csv,1950-10-21,1951-12-10,chuvas_C_00937023.csv
chuvas_C_00937023.csv,chuvas_C_00937023.csv,1952-01-01,1952-11-30,chuvas_C_00937023.csv
chuvas_C_00937023.csv,chuvas_C_00937023.csv,1952-12-31,1953-04-30,chuvas_C_00937023.csv
chuvas_C_00937023.csv,chuvas_C_00937023.csv,1953-06-01,1954-06-30,chuvas_C_00937023.csv
chuvas_C_00937023.csv,chuvas_C_00937023.csv,1954-08-01,1958-06-30,chuvas_C_00937023.csv
chuvas_C_00937023.csv,chuvas_C_00937023.csv,1958-08-01,1975-05-31,chuvas_C_00937023.csv
chuvas_C_00937023.csv,chuvas_C_00937023.csv,1980-09-01,1980-09-30,chuvas_C_00937023.csv
chuvas_C_00937023.csv,chuvas_C_00937023.csv,1981-02-01,1993-08-31,chuvas_C_00937023.csv
chuvas_C_00937023.csv,chuvas_C_00937023.csv,1993-09-12,2018-10-31,chuvas_C_00937023.csv
chuvas_C_00935056.zip,chuvas_C_00935056.zip,1989-08-19,2012-04-30,chuvas_C_00935056.zip
chuvas_C_00935056.zip,chuvas_C_00935056.zip,2012-06-01,2016-11-01,chuvas_C_00935056.zip
chuvas_C_00935056.zip,chuvas_C_00935056.zip,2016-11-10,2016-11-15,chuvas_C_00935056.zip
chuvas_C_00935056.zip,chuvas_C_00935056.zip,2017-03-14,2018-09-24,chuvas_C_00935056.zip
chuvas_C_00935056.zip,chuvas_C_00935056.zip,2018-09-26,2019-06-30,chuvas_C_00935056.zip
chuvas_C_00935014.zip,chuvas_C_00935014.zip,1963-01-01,1970-10-31,chuvas_C_00935014.zip
chuvas_C_00935014.zip,chuvas_C_00935014.zip,1971-11-01,1971-12-31,chuvas_C_00935014.zip
chuvas_C_00935014.zip,chuvas_C_00935014.zip,1973-02-01,1973-05-31,chuvas_C_00935014.zip
chuvas_C_00935014.zip,chuvas_C_00935014.zip,1973-11-01,1975-10-31,chuvas_C_00935014.zip
chuvas_C_00935014.zip,chuvas_C_00935014.zip,1975-12-01,1978-07-31,chuvas_C_00935014.zip
chuvas_C_00935014.zip,chuvas_C_00935014.zip,1979-08-01,1980-02-29,chuvas_C_00935014.zip
chuvas_C_00935014.zip,chuvas_C_00935014.zip,1980-06-01,1981-02-28,chuvas_C_00935014.zip
chuvas_C_00935014.zip,chuvas_C_00935014.zip,1981-04-01,1981-05-31,chuvas_C_00935014.zip
